timestamp;fecha;hora_aproximada;latitud;longitud;lugar_exacto;numero_agresores;consecuencias_fisicas;denuncia_en_mp;procedio_la_denuncia;si_procedio_con_que_delito;si_no_procedio_que_razones_dieron;mp;narracion_de_los_hechos;lugar_exacto_norm;narracion_de_los_hechos_norm;en_metro;estacion;lugar_en_metro;fuente
1/29/2019 19:17:59;1/28/2019;11:00:00;19.419562;-99.096438;Metro Boulevard Puerto Aéreo (andenes exclusivo de mujeres);1;Ataque de ansiedad;No;NA;NA;NA;NA;"Hace un rato me encontraba en la estación del metro Boulevard puerto aéreo, estaba esperando a que llegara el metro y un joven de entre 20 y 25 años se me acercó muchísimo y sentí que recargó algo en mi costilla (no estoy segura si era un cuchillo o una pistola), al principio creí que me iba a asaltar, pero me dijo: “vas a salir conmigo y verás una camioneta blanca, te vas a subir y si alguien te dice algo dices que es tu uber”, me quedé paralizada y comenzó a darme un ataque de ansiedad por lo que empecé a llorar, y una señora (a la que no tuve oportunidad de preguntarle su nombre) me dijo: ¿estás bien?, no pude contestarle y se dio cuenta de lo que estaba pasando que empezó a gritar: “fuego, fuego”. Y la gente empezó a vernos y un policía se acercó; fue así como el joven me soltó y se dio a la fuga.";metro_boulevard_puerto_aereo_andenes_exclusivo_de_mujeres;hace_un_rato_me_encontraba_en_la_estacion_del_metro_boulevard_puerto_aereo_estaba_esperando_a_que_llegara_el_metro_y_un_joven_de_entre_20_y_25_años_se_me_acerco_muchisimo_y_senti_que_recargo_algo_en_mi_costilla_no_estoy_segura_si_era_un_cuchillo_o_una_pistola_al_principio_crei_que_me_iba_a_asaltar_pero_me_dijo_vas_a_salir_conmigo_y_veras_una_camioneta_blanca_te_vas_a_subir_y_si_alguien_te_dice_algo_dices_que_es_tu_uber_me_quede_paralizada_y_comenzo_a_darme_un_ataque_de_ansiedad_por_lo_que_empece_a_llorar_y_una_señora_a_la_que_no_tuve_oportunidad_de_preguntarle_su_nombre_me_dijo_estas_bien_no_pude_contestarle_y_se_dio_cuenta_de_lo_que_estaba_pasando_que_empezo_a_gritar_fuego_fuego_y_la_gente_empezo_a_vernos_y_un_policia_se_acerco_fue_asi_como_el_joven_me_solto_y_se_dio_a_la_fuga;1;NA;dentro;encuesta_larga
1/29/2019 19:23:00;11/21/2018;20:00:00;19.447188;-99.152063;Pasillos de la estación Buenavista.;2;NA;No;No;NA;"Porque fue más afuera que adentro y ""no me pasó nada"".";Estación Buenavista;Saliendo de los andanes noté que un tipo gordo, moreno y alto me perseguía, comencé a caminar más rápido, al acercarme a la salida intentó tomarme la mano y forcejee hasta lograr zafarme, el tipo se quedó aturdido y en ese momento mi instinto fue quedarme quieta para observar si venía solo o no. En efecto otra persona lo espetsba afieta, cerca de las escaleras de la línea B, en ese momento corrí hacia donde vi a un policía y se fue6. Lr dije al policía lo que pasaló y se negó a acompañarme a MP que está dentro. Lo. Mismo sucedió, lw persona en la recepción me dijo que mi denuncia no iba a proceder porque prácticamente yo estaba más afuera que adentro y que no. Me había pasado nada. Al. Salir observé de nuevo a las dos personas en la misma posición. Me fui muy enojada y con temor de que me fueran a reconocer, así que di la vuelta por Insurgentes.;pasillos_de_la_estacion_buenavista;saliendo_de_los_andanes_note_que_un_tipo_gordo_moreno_y_alto_me_perseguia_comence_a_caminar_mas_rapido_al_acercarme_a_la_salida_intento_tomarme_la_mano_y_forcejee_hasta_lograr_zafarme_el_tipo_se_quedo_aturdido_y_en_ese_momento_mi_instinto_fue_quedarme_quieta_para_observar_si_venia_solo_o_no_en_efecto_otra_persona_lo_espetsba_afieta_cerca_de_las_escaleras_de_la_linea_b_en_ese_momento_corri_hacia_donde_vi_a_un_policia_y_se_fue6_lr_dije_al_policia_lo_que_pasalo_y_se_nego_a_acompañarme_a_mp_que_esta_dentro_lo_mismo_sucedio_lw_persona_en_la_recepcion_me_dijo_que_mi_denuncia_no_iba_a_proceder_porque_practicamente_yo_estaba_mas_afuera_que_adentro_y_que_no_me_habia_pasado_nada_al_salir_observe_de_nuevo_a_las_dos_personas_en_la_misma_posicion_me_fui_muy_enojada_y_con_temor_de_que_me_fueran_a_reconocer_asi_que_di_la_vuelta_por_insurgentes;1;buenavista;dentro;encuesta_larga
1/29/2019 19:36:51;1/16/2019;08:15:00;19.375938;-99.187312;Metro Mixcoac (afuera del metro);2;NA;No;No;NA;NA;NA;"Iba caminando al metro Mixcoac para ir al trabajo, cuando un grupo de hombres que estaban afuera del metro en un Jetta Blanco, cuando vi sus gestos, se hicieron señas y se codearon entre ellos, dijeron al como ""orilla 50"" -algo así- y en eso yo corrí de inmediato, corrí; y brinque un escalón, corrí hacia el interior del metro, los dos niveles de las escaleras, baje como en dos saltos y llegando a los torniquetes incluso ni pague, me metí por debajo y me seguí corriendo .";metro_mixcoac_afuera_del_metro;iba_caminando_al_metro_mixcoac_para_ir_al_trabajo_cuando_un_grupo_de_hombres_que_estaban_afuera_del_metro_en_un_jetta_blanco_cuando_vi_sus_gestos_se_hicieron_señas_y_se_codearon_entre_ellos_dijeron_al_como_orilla_50_algo_asi_y_en_eso_yo_corri_de_inmediato_corri_y_brinque_un_escalon_corri_hacia_el_interior_del_metro_los_dos_niveles_de_las_escaleras_baje_como_en_dos_saltos_y_llegando_a_los_torniquetes_incluso_ni_pague_me_meti_por_debajo_y_me_segui_corriendo_;1;mixcoac;fuera;encuesta_larga
1/29/2019 19:51:45;1/21/2017;13:15:00;19.409187;-99.122188;Metro Jamaica;2;NA;No;No;NA;NA;NA;"Estaba en el transbordo de la línea azul a la café y un señor me pidió ayuda para cobrar unos cheques y encontrar a su hijo. Después llegó otro ""chavo"" desconocido y me dijo que me ayudaba con el señor (jamás detecté que se conocían). Salimos del metro y el chavo fue a ""cobrar los cheques"" (en sábado, tampoco lo detecté, estaba muy nerviosa) y me dejó su mochila como ""garantía"" de que regresaría con el dinero. Regresó y me dijo que fuera yo al banco, que le dejara mis cosas. Le dije que no. Me dijo que le dejara mi celular, pero le di mi iPod, pero insistió en el celular y los 2 me estaban acorralando contra la pared en un lugar poco transitado, además voleteaban nerviosos a la calle. Temí que esperaran un carro/camioneta y no me quise arriesgar, decidí darles el celular para evitar problemas y corrí directo con la policía del metro, pero no ayudaron.";metro_jamaica;estaba_en_el_transbordo_de_la_linea_azul_a_la_cafe_y_un_señor_me_pidio_ayuda_para_cobrar_unos_cheques_y_encontrar_a_su_hijo_despues_llego_otro_chavo_desconocido_y_me_dijo_que_me_ayudaba_con_el_señor_jamas_detecte_que_se_conocian_salimos_del_metro_y_el_chavo_fue_a_cobrar_los_cheques_en_sabado_tampoco_lo_detecte_estaba_muy_nerviosa_y_me_dejo_su_mochila_como_garantia_de_que_regresaria_con_el_dinero_regreso_y_me_dijo_que_fuera_yo_al_banco_que_le_dejara_mis_cosas_le_dije_que_no_me_dijo_que_le_dejara_mi_celular_pero_le_di_mi_ipod_pero_insistio_en_el_celular_y_los_2_me_estaban_acorralando_contra_la_pared_en_un_lugar_poco_transitado_ademas_voleteaban_nerviosos_a_la_calle_temi_que_esperaran_un_carrocamioneta_y_no_me_quise_arriesgar_decidi_darles_el_celular_para_evitar_problemas_y_corri_directo_con_la_policia_del_metro_pero_no_ayudaron;1;jamaica;transbordo;encuesta_larga
1/29/2019 20:01:54;2/18/2018;10:50:00;19.607938;-99.017688;Avenida palomas, Villa ecatepc, Ecatepec de Morelos;4;NA;No;No;NA;NA;NA;"Me diria caminando por la acera cuando escuche un auto muy cerca de mi, por lo que me subi mas ala banqueta cuando escucho un ""oye"", voz coml de un chavo que iva manejando una jeel pateada con vidrios polarizados, al voltear me parcato de qud el copiloto me quería amenazar con un arma cuendo emoeze a caminar muy rápido aun citio de taxis, lugar has";avenida_palomas_villa_ecatepc_ecatepec_de_morelos;me_diria_caminando_por_la_acera_cuando_escuche_un_auto_muy_cerca_de_mi_por_lo_que_me_subi_mas_ala_banqueta_cuando_escucho_un_oye_voz_coml_de_un_chavo_que_iva_manejando_una_jeel_pateada_con_vidrios_polarizados_al_voltear_me_parcato_de_qud_el_copiloto_me_queria_amenazar_con_un_arma_cuendo_emoeze_a_caminar_muy_rapido_aun_citio_de_taxis_lugar_has;0;morelos;NA;encuesta_larga
1/29/2019 20:03:03;5/15/2008;07:30:00;NA;NA;Eje 3;2;NA;No;No;NA;NA;NA;Me intentaron subir a un auto uno manejaba y el otro me interceptó en la calle eran las 7:30 de la mañana;eje_3;me_intentaron_subir_a_un_auto_uno_manejaba_y_el_otro_me_intercepto_en_la_calle_eran_las_730_de_la_mañana;0;NA;NA;encuesta_larga
1/29/2019 20:09:43;1/9/2019;12:00:00;19.504813;-99.200063;Metro Rosario;3;Moretón;Sí;No;NA;Que no tenía pruebas;Tlalnepantla de Baz;"Un hombre bastante alto y atractivo empezó a seguirme desde que llegue al CETRAM el Rosario, hasta terminar mi trayecto en Zócalo, (incluso en los transbordos) intenté pedir ayuda a los policías y me dijeron que no podían hacer nada porque mucha gente iba a la misma dirección que no fuera paranoica que alguien como el no me estaba siguiendo.Cuando bajé del vagón, lo vi, intenté correr y perderme entre la gente pero no lo logre, me siguió incluso hasta las afueras del edificio donde tomó mis cursos de inglés en la Calle Isabel la Católica, pensé que me había salvado y cuando salí volví a caminar hacia el Zócalo y sentí que alguien me seguía de nuevo, era él pero ahora estaba con otros 2 hombres. Uno de ellos corrió hacia mi y me tomo muy fuerte del brazo; empecé a gritar y nadie me ayudaba; todos caminaban rápido o se volteaban, sentí que era el fin, de repente el tipo alto se acercó y me dijo ""Nadie te va a ayudar, y acabas de darte cuenta que no puedes hacer nada"" Empecé a llorar, y no sé de donde saqué fuerzas pero empecé a forcejear, a gritar, a rasguñar hasta que me percaté que yo traía una pluma en mi chamarra, en un descuido saqué la pluma y empecé a querer encajarles la pluma, un señorpor fin de acercó y ellos le dijeron que era su amiga y que estaba drogada, que siempre me ponía así, por suerte el señor no les creyó y empezó a pedir ayuda, después llegaron más personas que trabajan en un local de hamburguesas, me auxiliaron y ya después me tranquilizador y me acompañaron hasta el metro, incluso un chico de ofreció a llevarme hasta el Rosario otra vez.Todo quedó en un susto, un gran moreton y en un trauma horrible.";metro_rosario;un_hombre_bastante_alto_y_atractivo_empezo_a_seguirme_desde_que_llegue_al_cetram_el_rosario_hasta_terminar_mi_trayecto_en_zocalo_incluso_en_los_transbordos_intente_pedir_ayuda_a_los_policias_y_me_dijeron_que_no_podian_hacer_nada_porque_mucha_gente_iba_a_la_misma_direccion_que_no_fuera_paranoica_que_alguien_como_el_no_me_estaba_siguiendocuando_baje_del_vagon_lo_vi_intente_correr_y_perderme_entre_la_gente_pero_no_lo_logre_me_siguio_incluso_hasta_las_afueras_del_edificio_donde_tomo_mis_cursos_de_ingles_en_la_calle_isabel_la_catolica_pense_que_me_habia_salvado_y_cuando_sali_volvi_a_caminar_hacia_el_zocalo_y_senti_que_alguien_me_seguia_de_nuevo_era_el_pero_ahora_estaba_con_otros_2_hombres_uno_de_ellos_corrio_hacia_mi_y_me_tomo_muy_fuerte_del_brazo_empece_a_gritar_y_nadie_me_ayudaba_todos_caminaban_rapido_o_se_volteaban_senti_que_era_el_fin_de_repente_el_tipo_alto_se_acerco_y_me_dijo_nadie_te_va_a_ayudar_y_acabas_de_darte_cuenta_que_no_puedes_hacer_nada_empece_a_llorar_y_no_se_de_donde_saque_fuerzas_pero_empece_a_forcejear_a_gritar_a_rasguñar_hasta_que_me_percate_que_yo_traia_una_pluma_en_mi_chamarra_en_un_descuido_saque_la_pluma_y_empece_a_querer_encajarles_la_pluma_un_señorpor_fin_de_acerco_y_ellos_le_dijeron_que_era_su_amiga_y_que_estaba_drogada_que_siempre_me_ponia_asi_por_suerte_el_señor_no_les_creyo_y_empezo_a_pedir_ayuda_despues_llegaron_mas_personas_que_trabajan_en_un_local_de_hamburguesas_me_auxiliaron_y_ya_despues_me_tranquilizador_y_me_acompañaron_hasta_el_metro_incluso_un_chico_de_ofrecio_a_llevarme_hasta_el_rosario_otra_veztodo_quedo_en_un_susto_un_gran_moreton_y_en_un_trauma_horrible;1;el_rosario;transbordo;encuesta_larga
1/29/2019 20:31:14;6/15/2017;06:20:00;19.470937;-99.064813;Por la iglesia de Volcán Viborillas, Colonia La Pradera II;3;Raspones, golpe en la espalda y moretones;No;NA;NA;NA;NA;Mi hermana se dirigía al metrobus Bachilleres 9, pues se dirigía a la universidad y cuando iba cruzando la calle de Volcán Barajas se percató de que un auto café se encontraba a algunos pasos de ella. Dentro venían tres hombres, cuando pasa la calle Volcán Sanganguey, el carro se estaciona a unos dos pasos de ella y bajan dos hombres, mientras que otro se queda al volante. Mi hermana corre hacia la puerta de la iglesia, los hombres le piden que se detenga y al no hacerlo le arrojan un ladrillo en la espalda. Mi hermana sigue corriendo, llega a la iglesia y se tropieza en la entrada. Al caer al suelo grita y pide ayuda, tres perros Pastor Alemán se ponen entre ella y los atacantes, lo cual les hace retroceder y huir. Mi hermana identificó a uno de los hombres, es un vecino de la zona, pero se negó a levantar denuncia.;por_la_iglesia_de_volcan_viborillas_colonia_la_pradera_ii;mi_hermana_se_dirigia_al_metrobus_bachilleres_9_pues_se_dirigia_a_la_universidad_y_cuando_iba_cruzando_la_calle_de_volcan_barajas_se_percato_de_que_un_auto_cafe_se_encontraba_a_algunos_pasos_de_ella_dentro_venian_tres_hombres_cuando_pasa_la_calle_volcan_sanganguey_el_carro_se_estaciona_a_unos_dos_pasos_de_ella_y_bajan_dos_hombres_mientras_que_otro_se_queda_al_volante_mi_hermana_corre_hacia_la_puerta_de_la_iglesia_los_hombres_le_piden_que_se_detenga_y_al_no_hacerlo_le_arrojan_un_ladrillo_en_la_espalda_mi_hermana_sigue_corriendo_llega_a_la_iglesia_y_se_tropieza_en_la_entrada_al_caer_al_suelo_grita_y_pide_ayuda_tres_perros_pastor_aleman_se_ponen_entre_ella_y_los_atacantes_lo_cual_les_hace_retroceder_y_huir_mi_hermana_identifico_a_uno_de_los_hombres_es_un_vecino_de_la_zona_pero_se_nego_a_levantar_denuncia;1;universidad;dentro;encuesta_larga
1/29/2019 20:34:00;10/10/2019;02:00:00;19.447188;-99.152063;Buenavista;2;NA;No;NA;NA;NA;NA;Al regresar de la escuela (P9) y bajar de la estación de Mb Buenavista, dos tipos empezaron a seguirme. Me metí pe otra calle y seguían atrás de mí. Tuve que cambiar de calle varias veces y caminar rápido para llegar a mi casa. Eventualmente los perdí.;buenavista;al_regresar_de_la_escuela_p9_y_bajar_de_la_estacion_de_mb_buenavista_dos_tipos_empezaron_a_seguirme_me_meti_pe_otra_calle_y_seguian_atras_de_mi_tuve_que_cambiar_de_calle_varias_veces_y_caminar_rapido_para_llegar_a_mi_casa_eventualmente_los_perdi;1;buenavista;NA;encuesta_larga
1/29/2019 20:46:38;11/15/2018;10:20:00;19.406937;-99.155188;Metro centro médico, transbordo hacia línea cafe;1;Raguños, golpe y cosas tiradas en el piso;No;No;NA;El policía en la estación me dijo que no podía hacer nada por que ya se había ido el sujeto;NA;Iba en el transbordo y se me emparejó me agarró del brazo y me trató de conducir a la salida, trate de sacarme y empezó a gritar que no hiciera drama, yo grite que me dejara y que no lo conocía y que quería un policía y nadie respondió, insistió en hablarme y lo golpee con la mochila que fue cuando se me cayeron las cosas que llevaba en las manos, el celilar, un libro y mi chamarra, me jalo y me torció la mano lo golpee de nuevo y se fue. Acudo con el policía y me dijo que si se había ido ya no podía hacer nada, ni siquiera lo anoto en su libreta;metro_centro_medico_transbordo_hacia_linea_cafe;iba_en_el_transbordo_y_se_me_emparejo_me_agarro_del_brazo_y_me_trato_de_conducir_a_la_salida_trate_de_sacarme_y_empezo_a_gritar_que_no_hiciera_drama_yo_grite_que_me_dejara_y_que_no_lo_conocia_y_que_queria_un_policia_y_nadie_respondio_insistio_en_hablarme_y_lo_golpee_con_la_mochila_que_fue_cuando_se_me_cayeron_las_cosas_que_llevaba_en_las_manos_el_celilar_un_libro_y_mi_chamarra_me_jalo_y_me_torcio_la_mano_lo_golpee_de_nuevo_y_se_fue_acudo_con_el_policia_y_me_dijo_que_si_se_habia_ido_ya_no_podia_hacer_nada_ni_siquiera_lo_anoto_en_su_libreta;1;centro_medico;transbordo;encuesta_larga
