fecha;hora_aproximada;narracion_de_los_hechos;lugar_en_metro;en_metro;fuente;estacion;linea;latitud;longitud;lugar_exacto;numero_agresores;consecuencias_fisicas;denuncia_en_mp;procedio_la_denuncia;si_procedio_con_que_delito;si_no_procedio_que_razones_dieron;mp;colonia_nombre;entidad_num;municipio_num;cp
1/30/2019;3:25:00 p. m.;Fingir ser un conocido;transbordo;1;encuesta_corta;aculco;7;"";"";"";"";"";"";"";"";"";"";"";"";"";""
1/15/2019;1:30:00 p. m.;Intimidación/acoso directo;dentro;1;encuesta_corta;allende;2;19.43547387;-99.13670897;"";"";"";"";"";"";"";"";CENTRO;9;15;6000
1/17/2019;6:30:00 p. m.;Intimidación/acoso directo;transbordo;1;encuesta_corta;atlalilco;12;19.35264126;-99.10632491;"";"";"";"";"";"";"";"";STA ISABEL INDUSTRIAL;9;7;9810
1/23/2019;7:00:00 a. m.;Agresion directa;transbordo;1;encuesta_corta;balderas;1;19.42729875;-99.14912224;"";"";"";"";"";"";"";"";CENTRO;9;15;6000
8/24/2018;5:00:00 p. m.;Un tipo se hace pasar que tiene un tipo de retraso mental y lleva un billete de lotería;fuera;1;encuesta_corta;barranca_del_muerto;7;19.3614882;-99.18895841;"";"";"";"";"";"";"";"";GUADALUPE INN;9;10;1020
1/8/2019;12:12:00 p. m.;Fingir ser un conocido;dentro;1;encuesta_corta;barranca_del_muerto;1;"";"";"";"";"";"";"";"";"";"";"";"";"";""
1/17/2019;7:00:00 p. m.;Intentar lugar de forma persistente;fuera;1;encuesta_corta;bellas_artes;2;19.43595951;-99.14155841;"";"";"";"";"";"";"";"";CENTRO;9;15;6000
9/12/2018;7:00:00 p. m.;Preguntando la hora se acerca primero un tipo y cuando subes la mirada ves que te estan acorralando;fuera;1;encuesta_corta;bellas_artes;8;19.43649573;-99.14061427;"";"";"";"";"";"";"";"";GUERRERO;9;15;6300
1/19/2019;5:00:00 p. m.;Se acercó para ayudarme a orientarme por ser extranjera;dentro;1;encuesta_corta;boulevard_puerto_aereo;1;"";"";"";"";"";"";"";"";"";"";"";"";"";""
1/29/2019;6:30:00 p. m.;Fingir ser un conocido;fuera;1;encuesta_corta;buenavista;1;"";"";"";"";"";"";"";"";"";"";"";"";"";""
1/29/2019;10:00:00 p. m.;Fingir ser un conocido;fuera;1;encuesta_corta;camarones;7;19.47873042;-99.18894768;"";"";"";"";"";"";"";"";SAN FRANCISCO TETECALA;9;2;2730
12/13/2018;12:30:00 p. m.;Intimidación/acoso directo;fuera;1;encuesta_corta;canal_de_san_juan;A;19.39821706;-99.05969739;"";"";"";"";"";"";"";"";AGRICOLA ORIENTAL;9;6;8500
1/12/2019;2:30:00 a. m.;Intimidación/acoso directo;transbordo;1;encuesta_corta;chabacano;2;19.40891333;-99.13542151;"";"";"";"";"";"";"";"";VISTA ALEGRE;9;15;6860
1/29/2019;6:45:00 p. m.;Intimidación/acoso directo;dentro;1;encuesta_corta;chilpancingo;9;19.40575613;-99.1683054;"";"";"";"";"";"";"";"";ROMA SUR;9;15;6760
1/26/2019;5:15:00 a. m.;Intento de drogar;fuera;1;encuesta_corta;constitucion_de_1917;8;19.345135;-99.063367;"";"";"";"";"";"";"";"";LOS ANGELES;9;7;9830
