fecha;hora_aproximada;modalidad;lugar_en_metro;en_metro;fuente;estacion;linea;stop_id;latitud;longitud
1/30/2019;3:25:00 p. m.;Fingir ser un conocido;transbordo;1;encuesta_corta;aculco;7;NA;NA;NA
1/15/2019;1:30:00 p. m.;Intimidación/acoso directo;dentro;1;encuesta_corta;allende;2;14163;19.43547387;-99.13670897
1/17/2019;6:30:00 p. m.;Intimidación/acoso directo;transbordo;1;encuesta_corta;atlalilco;12;42427;19.35264126;-99.10632491
1/23/2019;7:00:00 a. m.;Agresion directa;transbordo;1;encuesta_corta;balderas;1;14157;19.42729875;-99.14912224
8/24/2018;5:00:00 p. m.;Un tipo se hace pasar que tiene un tipo de retraso mental y lleva un billete de lotería;fuera;1;encuesta_corta;barranca_del_muerto;7;14080;19.3614882;-99.18895841
1/8/2019;12:12:00 p. m.;Fingir ser un conocido;dentro;1;encuesta_corta;barranca_del_muerto;1;NA;NA;NA
1/17/2019;7:00:00 p. m.;Intentar lugar de forma persistente;fuera;1;encuesta_corta;bellas_artes;2;14162;19.43595951;-99.14155841
9/12/2018;7:00:00 p. m.;Preguntando la hora se acerca primero un tipo y cuando subes la mirada ves que te estan acorralando;fuera;1;encuesta_corta;bellas_artes;8;14141;19.43649573;-99.14061427
1/19/2019;5:00:00 p. m.;Se acercó para ayudarme a orientarme por ser extranjera;dentro;1;encuesta_corta;boulevard_puerto_aereo;1;NA;NA;NA
1/29/2019;6:30:00 p. m.;Fingir ser un conocido;fuera;1;encuesta_corta;buenavista;1;NA;NA;NA
1/29/2019;10:00:00 p. m.;Fingir ser un conocido;fuera;1;encuesta_corta;camarones;7;14132;19.47873042;-99.18894768
12/13/2018;12:30:00 p. m.;Intimidación/acoso directo;fuera;1;encuesta_corta;canal_de_san_juan;A;14071;19.39821706;-99.05969739
1/12/2019;2:30:00 a. m.;Intimidación/acoso directo;transbordo;1;encuesta_corta;chabacano;2;14159;19.40891333;-99.13542151
1/29/2019;6:45:00 p. m.;Intimidación/acoso directo;dentro;1;encuesta_corta;chilpancingo;9;14110;19.40575613;-99.1683054
1/26/2019;5:15:00 a. m.;Intento de drogar;fuera;1;encuesta_corta;constitucion_de_1917;8;14202;19.345135;-99.063367
