Geometry;stop_id;stop_code;stop_name;stop_desc;stop_lat;stop_lon;trip_heads;agency_id;Geopoint
"{""type"": ""Point"", ""coordinates"": [-99.139034, 19.443082]}";14169.0;;Garibaldi_1;Metro Línea 8 correspondencia con línea B.;19.443082;-99.139034;Garibaldi - Constitución de 1917;METRO;19.443082, -99.139034
"{""type"": ""Point"", ""coordinates"": [-99.136176, 19.468965]}";14103.0;;La Raza_1_3;Metro Línea 5 correspondencia con línea 3.;19.468965;-99.136176;Pantitlán - Politécnico;METRO;19.468965, -99.136176
"{""type"": ""Point"", ""coordinates"": [-99.18774605, 19.37625563]}";14079.0;;Mixcoac_1;Metro Línea 7 correspondencia con línea 12.;19.37625563;-99.18774605;Tláhuac - Mixcoac;METRO;19.37625563, -99.18774605
"{""type"": ""Point"", ""coordinates"": [-99.12227869, 19.40894369]}";14144.0;;Jamaica;Metro Línea 9 correspondencia con línea 4.;19.40894369;-99.12227869;Tacubaya - Pantitlán;METRO;19.40894369, -99.12227869
"{""type"": ""Point"", ""coordinates"": [-99.18686628, 19.37567873]}";132131.0;;Mixcoac;Metro Línea 12 correspondencia con línea 7.;19.37567873;-99.18686628;Mixcoac - Tláhuac;METRO;19.37567873, -99.18686628
"{""type"": ""Point"", ""coordinates"": [-99.19138312, 19.41129131]}";14116.0;;Constituyentes_1_2;Metro 7;19.41129131;-99.19138312;Barranca del Muerto - El Rosario;METRO;19.41129131, -99.19138312
"{""type"": ""Point"", ""coordinates"": [-99.14433718, 19.40702104]}";14156.0;;Lázaro Cárdenas;Metro 9;19.40702104;-99.14433718;Tacubaya - Pantitlán;METRO;19.40702104, -99.14433718
"{""type"": ""Point"", ""coordinates"": [-99.173702, 19.49039233]}";14133.0;;Ferrería;Metro 6;19.49039233;-99.173702;Martín Carrera - El Rosario;METRO;19.49039233, -99.173702
"{""type"": ""Point"", ""coordinates"": [-99.04171586, 19.50096117]}";14221.0;;Múzquiz;Metro B;19.50096117;-99.04171586;Buenavista - Ciudad Azteca;METRO;19.50096117, -99.04171586
"{""type"": ""Point"", ""coordinates"": [-99.087095, 19.423251]}";14213.0;;Hangares;Metro 5;19.423251;-99.087095;Pantitlán - Politécnico;METRO;19.423251, -99.087095
"{""type"": ""Point"", ""coordinates"": [-99.19948339, 19.50522896]}";14127.0;;El Rosario_1;Metro Línea 6 correspondencia con línea 7.;19.50522896;-99.19948339;Martín Carrera - El Rosario;METRO;19.50522896, -99.19948339
"{""type"": ""Point"", ""coordinates"": [-99.07262564, 19.4146103]}";14215.0;;Pantitlán_1;Metro Línea A correspondencia con líneas 1 5 y 9.;19.4146103;-99.07262564;La Paz - Pantitlán;METRO;19.4146103, -99.07262564
"{""type"": ""Point"", ""coordinates"": [-99.18803573, 19.45913691]}";14112.0;;Tacuba_1;Metro Línea 2 correspondencia con línea 7.;19.45913691;-99.18803573;Cuatro Caminos - Tasqueña;METRO;19.45913691, -99.18803573
"{""type"": ""Point"", ""coordinates"": [-99.08690572, 19.44542916]}";14061.0;;Oceanía;Metro Línea 5 correspondencia con línea B.;19.44542916;-99.08690572;Pantitlán - Politécnico;METRO;19.44542916, -99.08690572
"{""type"": ""Point"", ""coordinates"": [-99.09420133, 19.44048194]}";14073.0;;Romero Rubio;Metro B;19.44048194;-99.09420133;Buenavista - Ciudad Azteca;METRO;19.44048194, -99.09420133
"{""type"": ""Point"", ""coordinates"": [-99.16094542, 19.44185787]}";14098.0;;San Cosme;Metro 2;19.44185787;-99.16094542;Cuatro Caminos - Tasqueña;METRO;19.44185787, -99.16094542
